"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Dec 23 03:47:56 GMT 2023","Sat Dec 23 03:47:56 GMT 2023","157","Contact management","Contacts","","","","Import contacts",""
"passed","Sat Dec 23 03:47:48 GMT 2023","Sat Dec 23 03:47:48 GMT 2023","153","Transactional","Blocked Contacts","","","","Unblock or resubscribe a transactional contact",""
"failed","Sat Dec 23 03:48:11 GMT 2023","Sat Dec 23 03:48:11 GMT 2023","147","Conversations","Messages","","","","Send a message as an agent",""
"passed","Sat Dec 23 03:48:08 GMT 2023","Sat Dec 23 03:48:08 GMT 2023","137","Sales CRM","Deals","","","","Update a deal",""
"failed","Sat Dec 23 03:47:58 GMT 2023","Sat Dec 23 03:47:58 GMT 2023","142","Contact management","Lists","","","","Add existing contacts to a list",""
"failed","Sat Dec 23 03:47:50 GMT 2023","Sat Dec 23 03:47:50 GMT 2023","160","Transactional","WhatsApp Transactional","","","","Send a WhatsApp message",""
"passed","Sat Dec 23 03:47:59 GMT 2023","Sat Dec 23 03:47:59 GMT 2023","144","Contact management","Attributes","","","","List all attributes",""
"failed","Sat Dec 23 03:48:07 GMT 2023","Sat Dec 23 03:48:08 GMT 2023","147","Sales CRM","Deals","","","","Create a deal",""
"passed","Sat Dec 23 03:48:01 GMT 2023","Sat Dec 23 03:48:01 GMT 2023","147","Accounts and settings","Reseller","Domains","","","Create a domain for a child account",""
"failed","Sat Dec 23 03:47:52 GMT 2023","Sat Dec 23 03:47:52 GMT 2023","155","Marketing","Email Campaigns","","","","Export the recipients of an email campaign",""
"failed","Sat Dec 23 03:47:48 GMT 2023","Sat Dec 23 03:47:49 GMT 2023","150","Transactional","Blocked Domains","","","","Add a new domain to the list of blocked domains",""
"failed","Sat Dec 23 03:47:49 GMT 2023","Sat Dec 23 03:47:50 GMT 2023","150","Transactional","Transactional SMS","","","","Send SMS message to a mobile number",""
"passed","Sat Dec 23 03:47:54 GMT 2023","Sat Dec 23 03:47:55 GMT 2023","140","Marketing","WhatsApp Campaigns","","","","Delete a WhatsApp campaign",""
"passed","Sat Dec 23 03:48:07 GMT 2023","Sat Dec 23 03:48:07 GMT 2023","162","Sales CRM","Companies","","","","Get a company",""
